Label_N;COREDE;CD_GEOCMU;IDESE_2013;POUPANCA;OP_CREDITO;OBRIGACOES _RECEBIMENTO;DEP_A_VISTA_PRIV;DEP_A_VISTA_GOV;DEP_PRAZO;COOP_CRED;CEF;BANCO_COM;N_VINCULOS_EMP;DENS_DEM_HABKM2;IMPOSTOS;AREA_KM2;PIB_PERC;PIB;POPULACAO
Alto Alegre;Alto da Serra do Botucaraí;4300554;0,797301507;;;;;;;;;;502;15,90283542;2894,464;114,445;30800;57164,798;1811
Barros Cassal;Alto da Serra do Botucaraí;4302006;0,610369771;7647609;27295139;5931;2019686;1291827;795466;;;2;1115;17,09518937;5116,998;648,896;12392,47;142240,751;11051
Campos Borges;Alto da Serra do Botucaraí;4304101;0,735205451;;;;;;;;;;610;15,31040083;4260,816;226,578;21369,18;76052,9;3679
Espumoso;Alto da Serra do Botucaraí;4307500;0,79296863;45673907;230697134;66237;5961499;1339496;21291570;1;1;3;4856;19,54499307;45015,841;783,065;35927,37;566574,63;15589
Fontoura Xavier;Alto da Serra do Botucaraí;4308300;0,633651405;13985159;54390691;4177;1633176;550883;4970880;;;3;1868;18,14504726;4949,119;583,465;12017,46;131531,053;10566
Gramado Xavier;Alto da Serra do Botucaraí;4309159;0,657841588;1119359;2073680;0;231993;320742;0;;;1;341;18,64153546;1172,871;217,525;14484,65;60372,014;3728
Ibirapuitã;Alto da Serra do Botucaraí;4309951;0,696839449;932485;2237948;0;274637;206817;0;;;1;551;13,21699253;3043,124;307,029;22411,95;93457,822;4120
Itapuca;Alto da Serra do Botucaraí;4310579;0,691619472;;;;;;;;;;186;12,50481685;543,16;184,249;18195,69;42905,444;2389
Jacuizinho;Alto da Serra do Botucaraí;4310876;0,738304107;;;;;;;;;;357;7,55017945;1540,577;338,535;30911,08;81079,756;2669
Lagoão;Alto da Serra do Botucaraí;4311254;0,617253135;437375;2733384;0;232429;14365;0;;;1;460;16,1491229;1529,994;386,956;13076,43;84565,257;5994
Mormaço;Alto da Serra do Botucaraí;4312427;0,746984222;;;;;;;;;;478;19,47860844;4384,41;146,109;27396,83;79615,175;2771
Nicolau Vergueiro;Alto da Serra do Botucaraí;4312674;0,812593513;;;;;;;;;;332;11,15389552;4396,117;155,82;43095,13;75976,716;1721
São José do Herval;Alto da Serra do Botucaraí;4318465;0,681225068;;;;;;;;;;443;20,91295323;2450,012;103,094;18310,19;40593,691;2123
Soledade;Alto da Serra do Botucaraí;4320800;0,702357314;71096880;192568238;31786;10477829;569163;27408288;1;1;3;7200;24,83167272;39388,882;1213,41;18413,98;573595,547;30823
Tio Hugo;Alto da Serra do Botucaraí;4321469;0,772492696;;;;;;;;;;814;24,59820022;7097,768;114,236;31689,8;91076,491;2900
Victor Graeff;Alto da Serra do Botucaraí;4323200;0,828749988;4897555;50134659;9706;1614958;560170;3402825;;;2;729;12,64515912;7281,612;238,273;47812,65;147788,896;3008
Boa Vista do Cadeado;Alto Jacuí;4302220;0,778647946;;;;;;;;;;471;3,475956423;5802,837;701,102;70423,75;177467,863;2512
Boa Vista do Incra;Alto Jacuí;4302238;0,756723425;29338;1031198;0;78512;0;0;;;1;541;4,925805061;4158,434;503,471;55524,39;140865,39;2462
Colorado;Alto Jacuí;4305603;0,837232335;6544730;52560927;5528;1317097;805990;3412071;;;2;680;12,35005013;6783,864;285,262;41714,65;149004,732;3376
Cruz Alta;Alto Jacuí;4306106;0,757371502;197670039;561575388;170742;39714623;1049581;93151537;2;1;7;22114;45,74564273;344514,246;1360,37;41081,33;2634381,37;64364
Fortaleza dos Valos;Alto Jacuí;4308458;0,815270773;4687876;82980182;67180;1509583;68948;5272231;;;2;1182;6,9472849;11474,643;650,326;47922,14;223029,659;4626
Ibirubá;Alto Jacuí;4310009;0,826332421;57137649;477055927;120118;17967789;923436;38687873;1;1;3;9378;32,2164312;113839,556;607,454;45696,6;919232,877;20383
Lagoa dos Três Cantos;Alto Jacuí;4311270;0,814636558;;;;;;;;;;418;11,71421358;3008,955;138,635;42386,67;69853,224;1901
Não-Me-Toque;Alto Jacuí;4312658;0,829604973;58835205;220182785;115381;19097311;391240;64886324;1;1;4;12540;44,99669589;182442,015;361,671;66693,24;1119445,962;17095
Quinze de Novembro;Alto Jacuí;4315354;0,791502225;;;;;;;;;;749;16,50882229;7439,944;223,638;35506,7;134712,415;3695
Saldanha Marinho;Alto Jacuí;4316436;0,795605108;4228345;54260929;24882;1174133;17618;2875692;;;1;593;12,65765664;7002,596;221,605;40865,69;118714,825;2868
Salto do Jacuí;Alto Jacuí;4316451;0,6732909;13996372;74934923;33563;4678144;1696700;9544766;;1;3;2165;23,43015591;11186,287;507,423;19125,62;236392,671;11351
Santa Bárbara do Sul;Alto Jacuí;4316709;0,776665303;9157734;160486720;60559;6443415;869698;25875325;;;2;2687;8,898962283;40342,145;975,507;58986,66;525276,221;8916
Selbach;Alto Jacuí;4320305;0,812476916;3951992;51755618;9257;1970842;656247;4006483;;;2;1468;27,85377332;15628,571;177,642;33123,58;169393,998;5042
Tapera;Alto Jacuí;4321006;0,773277721;18681312;112277684;57171;11927281;851807;12779501;1;1;3;3226;58,22600216;28649,431;179,662;28021,48;302323,796;10738
Aceguá;Campanha;4300034;0,718832327;654998;2123323;990;436095;211613;0;;;1;1075;2,921808229;7712,922;1549,383;38345,1;177844,553;4623
Bagé;Campanha;4301602;0,707993154;351703927;784951175;271569;74350400;1095223;181292632;2;2;9;31235;28,7134718;173910,457;4095,534;16940,81;2053819,654;122040
Caçapava do Sul;Campanha;4302808;0,663111661;90404335;152820365;78614;16646015;1751292;24944899;;1;4;7307;11,02912823;45395,535;3047,113;18021,5;624913,578;34781
Candiota;Campanha;4304358;0,705966712;10224744;27854538;654;4894069;335709;2005031;;;2;3045;9,692300773;20937,618;933,834;14958,7;137829,436;9049
Dom Pedrito;Campanha;4306601;0,695879119;113492827;274595910;93543;25814999;1138914;41387202;;1;5;9816;7,470009697;55022,909;5192,095;24472,77;977858,471;39570
Hulha Negra;Campanha;4309654;0,672452802;277035;1455352;0;371568;26715;0;;;1;2996;7,609682355;10383,644;822,899;19339,28;123500,615;6106
Lavras do Sul;Campanha;4311502;0,655226752;9407467;66070749;36737;4457483;466499;5347499;;;2;1504;2,919710836;5342,145;2600,6;22478,67;176727,325;7470
André da Rocha;Campos de Cima da Serra;4300661;0,822292276;;;;;;;;;;356;3,801730358;1904,824;324,326;78332,53;100108,972;1247
Bom Jesus;Campos de Cima da Serra;4302303;0,674416119;25598095;90799815;5812;4840123;1042590;10639517;;1;3;5293;4,372357526;11336,132;2624,671;21177,26;250378,699;11531
Campestre da Serra;Campos de Cima da Serra;4303673;0,723405355;20261483;16072199;1331;844028;90030;1274869;;;2;876;6,195167286;15066,736;538;27822,04;93899,384;3335
Esmeralda;Campos de Cima da Serra;4307401;0,732600499;10990637;57914271;85204;1903377;102090;2393824;;;2;652;3,851688307;5073,88;829,766;39896,5;131139,791;3187
Ipê;Campos de Cima da Serra;4310439;0,735565922;31772464;37302136;12445;3918707;704462;2349935;;;2;1746;10,28457381;5503,146;599,247;25011,74;158424,341;6152
Monte Alegre dos Campos;Campos de Cima da Serra;4312377;0,646021404;;;;;;;;;;618;5,679048277;1546,115;549,74;13306,81;42861,247;3093
Muitos Capões;Campos de Cima da Serra;4312617;0,747305831;;;;;;;;;;1113;2,488457182;8346,522;1197,931;101313,12;315691,692;2893
Pinhal da Serra;Campos de Cima da Serra;4314464;0,730987276;;;;;;;;;;527;4,863069213;31446,895;437,995;102491,9;220460,083;2259
São José dos Ausentes;Campos de Cima da Serra;4318622;0,687958849;8421912;45244987;4295;1275236;236734;3020186;;;2;1896;2,85362116;1726,99;1173,947;22119,62;76113,599;3317
Vacaria;Campos de Cima da Serra;4322509;0,698390705;288361174;739193154;260552;47687640;1101474;129346731;;1;6;49455;29,39542931;163026,474;2124,582;25759,85;1655121,841;65191
Barra do Guarita;Celeiro;4301859;0,664393723;;;;;;;;;;301;48,77442605;1044,678;64,378;10663,61;34294,156;3162
Bom Progresso;Celeiro;4302378;0,697100995;;;;;;;;;;531;25,44483384;2137,968;88,741;19616,99;45334,866;2477
Braga;Celeiro;4302600;0,687576207;;;;;;;;;;472;28,18004217;3965,598;128,992;18738,35;69987,741;3699
Campo Novo;Celeiro;4304002;0,727727931;4601700;60432075;67260;1450072;234695;3278178;2;;2;1236;23,56432344;12614,795;222,073;27305,86;147560,872;5337
Chiapetta;Celeiro;4305405;0,778016204;1393504;9468611;0;1711631;276142;1248;;;1;1001;10,2054969;5528,205;396,551;39562,84;162207,642;4246
